,Country,City,AccentCity,Region,Population,Latitude,Longitude
859258,es,burgos,Burgos,55,168319,42.350221,-3.675273
859276,es,burriana,Burriana,60,29791,39.889007,-0.084989
859496,es,cabra,Cabra,51,20806,37.47249,-4.44206
859546,es,caceres,Cáceres,57,90938,39.481877,-6.373222
859573,es,cadiz,Cadiz,51,137698,36.515789,-6.279692
859613,es,calafell,Calafell,56,15325,41.187937,1.569665
859616,es,calahorra,Calahorra,27,21923,42.30506,-1.965209
859636,es,calatayud,Calatayud,52,18623,41.353534,-1.643184
859678,es,calella,Calella,56,14797,41.618024,2.667809
859708,es,callosa de segura,Callosa de Segura,60,18465,38.123647,-0.877392
859728,es,calvia,Calviá,07,41549,39.566156,2.503669
859766,es,camargo,Camargo,39,25107,43.407436,-3.884978
859776,es,camas,Camas,51,25622,37.402023,-6.033141
859779,es,cambados,Cambados,58,13653,42.512806,-8.814421
859787,es,cambre,Cambre,58,19445,43.294376,-8.34736
859789,es,cambrils,Cambrils,56,23833,41.074787,1.052436
859897,es,campo de criptana,Campo de Criptana,54,13470,39.404637,-3.123583
860035,es,canals,Canals,60,13569,38.962507,-0.584431
860090,es,candelaria,Candelaria,53,15647,28.3548,-16.372684
860135,es,cangas,Cangas,58,24460,42.264128,-8.784625
860317,es,carballo,Carballo,58,28409,43.214403,-8.691015
860368,es,cardedeu,Cardedeu,56,13822,41.639757,2.357387
860409,es,carlet,Carlet,60,15173,39.233333,-0.516667
860417,es,carmona,Carmona,51,26471,37.471248,-5.646083
860525,es,cartagena,Cartagena,31,201977,37.605121,-0.986232
860527,es,cartama,Cártama,51,15604,36.711591,-4.630105
860529,es,cartaya,Cartaya,51,13854,37.281136,-7.150706
863360,es,castelldefels,Castelldefels,56,50167,41.277658,1.968755
863426,es,castilleja de la cuesta,Castilleja de la Cuesta,51,16672,37.385937,-6.052577
863537,es,castrillon,Castrillón,34,22176,43.383333,-6.783333
863611,es,castro-urdiales,Castro-Urdiales,39,21605,43.382855,-3.220433
863627,es,catarroja,Catarroja,60,22408,39.4,-0.4
863718,es,cehegin,Cehegín,31,15959,38.092913,-1.797605
863940,es,cervo,Cervo,58,4848,43.670188,-7.410134
863952,es,ceuta,Ceuta,51,71436,35.888688,-5.319247
864002,es,chantada,Chantada,58,9086,42.609929,-7.769607
864063,es,chiclana,Chiclana,51,63012,36.421075,-6.148614
864089,es,chipiona,Chipiona,51,17400,36.736628,-6.437033
864149,es,ciempozuelos,Ciempozuelos,29,16606,40.156067,-3.616453
864155,es,cieza,Cieza,31,36545,38.239984,-1.419874
864262,es,ciudad real,Ciudad Real,54,64625,38.986258,-3.92907
864326,es,cocentaina,Cocentaina,60,12404,38.739751,-0.439759
864441,es,colmenar viejo,Colmenar Viejo,29,38913,40.6596,-3.766346
864526,es,conil,Conil,51,18644,36.277194,-6.088497
864544,es,consuegra,Consuegra,54,11223,39.462457,-3.608002
864600,es,cordoba,Córdoba,51,311186,37.89155,-4.772748
864621,es,coria,Coria,57,13287,39.987879,-6.537718
864622,es,coria del rio,Coria del Río,51,24671,37.287661,-6.054101
864642,es,cornella,Cornellá,56,86420,41.352784,2.070769
865320,es,coslada,Coslada,29,85168,40.423776,-3.561287
865547,es,cuenca,Cuenca,54,47500,40.066667,-2.133333
865658,es,cullera,Cullera,51,21756,39.166667,-0.25
865659,es,culleredo,Culleredo,58,22560,43.28788,-8.38858
865712,es,daimiel,Daimiel,54,17466,39.07004,-3.614978
865791,es,denia,Denia,60,38953,38.841344,0.10797
865876,es,don benito,Don Benito,57,31425,38.956274,-5.861622
865919,es,dos hermanas,Dos Hermanas,51,104666,37.282867,-5.920884
865949,es,durango,Durango,59,24953,43.171235,-2.633795
865983,es,ecija,Écija,51,37865,37.542203,-5.082599
865998,es,eibar,Éibar,59,28520,43.18476,-2.473804
866014,es,ejea de los caballeros,Ejea de los Caballeros,52,16586,42.126324,-1.137158
866078,es,el astillero,El Astillero,39,14710,43.400942,-3.820511
866353,es,elda,Elda,60,60276,38.477827,-0.791573
866371,es,el ejido,El Ejido,51,63155,36.773804,-2.816556
866380,es,el escorial,El Escorial,29,12131,40.584557,-4.127668
866430,es,elgoibar,Elgóibar,59,10551,43.214669,-2.416271
866722,es,el prat de llobregat,El Prat de Llobregat,56,66796,41.327836,2.094718
866739,es,el puerto de santa maria,El Puerto de Santa María,51,78714,36.59952,-6.227507
866953,es,el vendrell,El Vendrell,56,26947,41.220468,1.533654
866966,es,el viso del alcor,El Viso del Alcor,51,16762,37.391063,-5.719934
867064,es,erandio,Erandio,59,22377,43.305502,-2.945754
867113,es,ermua,Ermúa,59,16761,43.1879,-2.503497
867442,es,estepa,Estepa,51,12194,37.292487,-4.878709
867444,es,estepona,Estepona,51,47577,36.427879,-5.145451
867596,es,felanitx,Felanitx,07,17187,39.471912,3.15082
867611,es,fene,Fene,58,14633,43.45,-8.15
867624,es,fernan-nunez,Fernán-Núñez,51,9484,37.670436,-4.726395
867668,es,ferrol,Ferrol,58,78689,43.483213,-8.236893
867949,es,foz,Foz,58,9170,43.569197,-7.254405
867956,es,fraga,Fraga,52,12538,41.521508,0.35
868118,es,fuengirola,Fuengirola,51,54823,36.543322,-4.626904
868120,es,fuenlabrada,Fuenlabrada,29,202088,40.284189,-3.794147
868239,es,fuente palmera,Fuente Palmera,51,9925,37.704938,-5.09965
868377,es,galapagar,Galapagar,29,28271,40.576801,-4.006317
868393,es,galdar,Gáldar,53,24118,28.14252,-15.654224
868483,es,gandia,Gandía,60,63893,38.967418,-0.18158
868599,es,gava,Gavá,56,43021,41.306068,2.002676
868671,es,getafe,Getafe,29,167550,40.308423,-3.70596
868679,es,gibraleon,Gibraleón,51,10904,37.37628,-6.968952
868682,es,gijon,Gijón,34,262573,43.535731,-5.661519
868716,es,girona,Girona,56,85128,41.984444,2.821111
868736,es,godella,Godella,60,11829,39.533333,-0.416667
868798,es,gondomar,Gondomar,58,12419,42.111554,-8.74971
868865,es,grado,Grado,34,11289,43.388014,-6.074327
868881,es,granada,Granada,51,248942,37.178354,-3.599201
868884,es,granadilla de abona,Granadilla de Abona,53,23212,28.118816,-16.575989
868929,es,granollers,Granollers,56,57382,41.607816,2.289721
868991,es,guadalajara,Guadalajara,54,79616,40.628621,-3.161849
869014,es,guadix,Guadix,51,18814,37.299324,-3.13922
869100,es,guia de isora,Guía de Isora,53,16454,28.208587,-16.789471
869129,es,guimar,Güimar,53,16772,28.3039,-16.432545
869235,es,hellin,Hellín,54,28691,38.510605,-1.700961
869280,es,hernani,Hernani,59,18482,43.264057,-1.978942
869554,es,huelva,Huelva,51,145901,37.271447,-6.949464
869558,es,huercal-overa,Huércal-Overa,51,16204,37.388968,-1.945362
869624,es,huesca,Huesca,52,47919,42.13868,-0.409411
869626,es,huescar,Huéscar,51,8182,37.811036,-2.54116
869671,es,ibi,Ibi,60,25467,38.625334,-0.572246
869689,es,icod de los vinos,Icod de los Vinos,53,23885,28.372414,-16.711881
869717,es,igualada,Igualada,56,35711,41.580977,1.6172
869744,es,illescas,Illescas,54,13114,40.122128,-3.847038
869746,es,illora,Illora,51,10876,37.288253,-3.87954
869757,es,inca,Inca,07,26595,39.720034,2.910287
869773,es,ingenio,Ingenio,53,26606,27.918285,-15.447214
869825,es,irun,Irún,59,57205,43.338685,-1.793086
869925,es,jaca,Jaca,52,11811,42.568976,-0.549868
869930,es,jaen,Jaén,51,116291,37.772404,-3.79013
870012,es,jerez,Jerez,51,189230,36.686454,-6.136063
870036,es,jodar,Jódar,51,12031,37.840641,-3.352622
870084,es,jumilla,Jumilla,31,24476,38.475721,-1.326995
870165,es,la algaba,La Algaba,51,13346,37.463671,-6.012938
870239,es,la baneza,La Bañeza,55,10019,42.30026,-5.897718
870380,es,la carlota,La Carlota,51,10865,37.673592,-4.931216
870381,es,la carolina,La Carolina,51,14836,38.275591,-3.615345
870634,es,la garriga,La Garriga,56,13006,41.683047,2.28626
